No,Pref,県庁所在地,KansokushoName,KansokushoCD,R_01,R_02,R_03,R_04,R_05,R_06,R_07,R_08,R_09,R_10,R_11,R_12,AT_01,AT_02,AT_03,AT_04,AT_05,AT_06,AT_07,AT_08,AT_09,AT_10,AT_11,AT_12,Latitude,Longitude
1,北海道,札幌,札幌,14163,108.4,91.9,77.6,54.6,55.5,60.4,90.7,126.8,142.2,109.9,113.8,114.5,-3.2,-2.7,1.1,7.3,13,17,21.1,22.3,18.6,12.1,5.2,-0.9,43.06,141.3283333
2,青森県,青森,青森,31312,139.9,99,75.2,68.7,76.7,75,129.5,142,133,119.2,137.4,155.2,-0.9,-0.4,2.8,8.5,13.7,17.6,21.8,23.5,19.9,13.5,7.2,1.4,40.82166667,140.7683333
3,岩手県,盛岡,盛岡,33431,49.4,48,82.1,85.4,106.5,109.4,197.5,185.4,151.7,108.7,85.6,70.2,-1.6,-0.9,2.6,8.7,14.5,18.8,22.4,23.5,19.3,12.6,6.2,0.8,39.69833333,141.165
4,宮城県,仙台,仙台,34392,42.3,33.9,74.4,90.2,110.2,143.7,178.4,157.8,192.6,150.6,58.7,44.1,2,2.4,5.5,10.7,15.6,19.2,22.9,24.4,21.2,15.7,9.8,4.5,38.26166667,140.8966667
5,秋田県,秋田,秋田,32402,118.9,98.5,99.5,109.9,125,122.9,197,184.6,161,175.5,189.1,159.8,0.4,0.8,4,9.6,15.2,19.6,23.4,25,21,14.5,8.3,2.8,39.71666667,140.0983333
6,山形県,山形,山形,35426,87.8,63,72.1,63.9,74.5,104.8,187.2,153,123.8,105.1,74.4,97.2,-0.1,0.4,4,10.2,16.2,20.3,23.9,25,20.6,14.1,7.7,2.4,38.255,140.345
7,福島県,福島,福島,36127,56.2,41.1,75.7,81.8,88.5,121.2,177.7,151.3,167.6,138.7,58.4,48.9,1.9,2.5,5.9,11.7,17.2,20.7,24.3,25.5,21.6,15.6,9.5,4.3,37.75833333,140.47
8,茨城県,水戸,水戸,40201,54.5,53.8,102.8,116.7,144.5,135.7,141.8,116.9,186.3,185.4,79.7,49.6,3.3,4.1,7.4,12.3,17,20.3,24.2,25.6,22.1,16.6,10.8,5.6,36.38,140.4666667
9,栃木県,宇都宮,宇都宮,41277,37.5,38.5,87.7,121.5,149.2,175.2,215.4,198.5,217.2,174.4,71.1,38.5,2.8,3.8,7.4,12.8,17.8,21.2,24.8,26,22.4,16.7,10.6,5.1,36.54833333,139.8683333
10,群馬県,前橋,前橋,42251,29.7,26.5,58.3,74.8,99.4,147.8,202.1,195.6,204.3,142.2,43,23.8,3.7,4.5,7.9,13.4,18.6,22.1,25.8,26.8,22.9,17.1,11.2,6.1,36.405,139.06
11,埼玉県,さいたま,さいたま,43241,42.4,39.6,88,101.9,121.4,144.8,148,164,202.8,196.8,70.9,45.2,3.9,4.9,8.4,13.7,18.6,22,25.9,27,23.2,17.5,11.4,6.2,35.875,139.5866667
12,千葉県,千葉,千葉,45212,67.5,59.1,111.3,110.4,122.3,150.9,136.5,115.7,204.7,225.7,94.1,56.8,6.1,6.6,9.6,14.5,18.9,21.9,25.7,27.1,23.8,18.6,13.4,8.6,35.60166667,140.1033333
13,東京都,東京,東京,44132,59.7,56.5,116,133.7,139.7,167.8,156.2,154.7,224.9,234.8,96.3,57.9,5.4,6.1,9.4,14.3,18.8,21.9,25.7,26.9,23.3,18,12.5,7.7,35.69166667,139.75
14,神奈川県,横浜,横浜,46106,64.7,64.7,139.5,143.1,152.6,188.8,182.5,139,241.5,240.4,107.6,66.4,6.1,6.7,9.7,14.5,18.8,21.8,25.6,27,23.7,18.5,13.4,8.7,35.43833333,139.6516667
15,新潟県,新潟,新潟,54232,180.9,115.8,112,97.2,94.4,121.1,222.3,163.4,151.9,157.7,203.5,225.9,2.5,3.1,6.2,11.3,16.7,20.9,24.9,26.5,22.5,16.7,10.5,5.3,37.89333333,139.0183333
16,富山県,富山,富山,55102,259,171.7,164.6,134.5,122.8,172.6,245.6,207,218.1,171.9,224.8,281.6,3,3.4,6.9,12.3,17.5,21.4,25.5,26.9,22.8,17,11.2,5.7,36.70833333,137.2016667
17,石川県,金沢,金沢,56227,256,162.6,157.2,143.9,138,170.3,233.4,179.3,231.9,177.1,250.8,301.1,4,4.2,7.3,12.6,17.7,21.6,25.8,27.3,23.2,17.6,11.9,6.8,36.58833333,136.6333333
